"Wind";"Temp";"Date"
7,4;67;1973-05-01
8;72;1973-05-02
12,6;74;1973-05-03
11,5;62;1973-05-04
14,3;56;1973-05-05
14,9;66;1973-05-06
8,6;65;1973-05-07
13,8;59;1973-05-08
20,1;61;1973-05-09
8,6;69;1973-05-10
6,9;74;1973-05-11
9,7;69;1973-05-12
9,2;66;1973-05-13
10,9;68;1973-05-14
13,2;58;1973-05-15
11,5;64;1973-05-16
12;66;1973-05-17
18,4;57;1973-05-18
11,5;68;1973-05-19
9,7;62;1973-05-20
9,7;59;1973-05-21
16,6;73;1973-05-22
9,7;61;1973-05-23
12;61;1973-05-24
16,6;57;1973-05-25
14,9;58;1973-05-26
8;57;1973-05-27
12;67;1973-05-28
14,9;81;1973-05-29
5,7;79;1973-05-30
7,4;76;1973-05-31
8,6;78;1973-06-01
9,7;74;1973-06-02
16,1;67;1973-06-03
9,2;84;1973-06-04
8,6;85;1973-06-05
14,3;79;1973-06-06
9,7;82;1973-06-07
6,9;87;1973-06-08
13,8;90;1973-06-09
11,5;87;1973-06-10
10,9;93;1973-06-11
9,2;92;1973-06-12
8;82;1973-06-13
13,8;80;1973-06-14
11,5;79;1973-06-15
14,9;77;1973-06-16
20,7;72;1973-06-17
9,2;65;1973-06-18
11,5;73;1973-06-19
10,3;76;1973-06-20
6,3;77;1973-06-21
1,7;76;1973-06-22
4,6;76;1973-06-23
6,3;76;1973-06-24
8;75;1973-06-25
8;78;1973-06-26
10,3;73;1973-06-27
11,5;80;1973-06-28
14,9;77;1973-06-29
8;83;1973-06-30
4,1;84;1973-07-01
9,2;85;1973-07-02
9,2;81;1973-07-03
10,9;84;1973-07-04
4,6;83;1973-07-05
10,9;83;1973-07-06
5,1;88;1973-07-07
6,3;92;1973-07-08
5,7;92;1973-07-09
7,4;89;1973-07-10
8,6;82;1973-07-11
14,3;73;1973-07-12
14,9;81;1973-07-13
14,9;91;1973-07-14
14,3;80;1973-07-15
6,9;81;1973-07-16
10,3;82;1973-07-17
6,3;84;1973-07-18
5,1;87;1973-07-19
11,5;85;1973-07-20
6,9;74;1973-07-21
9,7;81;1973-07-22
11,5;82;1973-07-23
8,6;86;1973-07-24
8;85;1973-07-25
8,6;82;1973-07-26
12;86;1973-07-27
7,4;88;1973-07-28
7,4;86;1973-07-29
7,4;83;1973-07-30
9,2;81;1973-07-31
6,9;81;1973-08-01
13,8;81;1973-08-02
7,4;82;1973-08-03
6,9;86;1973-08-04
7,4;85;1973-08-05
4,6;87;1973-08-06
4;89;1973-08-07
10,3;90;1973-08-08
8;90;1973-08-09
8,6;92;1973-08-10
11,5;86;1973-08-11
11,5;86;1973-08-12
11,5;82;1973-08-13
9,7;80;1973-08-14
11,5;79;1973-08-15
10,3;77;1973-08-16
6,3;79;1973-08-17
7,4;76;1973-08-18
10,9;78;1973-08-19
10,3;78;1973-08-20
15,5;77;1973-08-21
14,3;72;1973-08-22
12,6;75;1973-08-23
9,7;79;1973-08-24
3,4;81;1973-08-25
8;86;1973-08-26
5,7;88;1973-08-27
9,7;97;1973-08-28
2,3;94;1973-08-29
6,3;96;1973-08-30
6,3;94;1973-08-31
6,9;91;1973-09-01
5,1;92;1973-09-02
2,8;93;1973-09-03
4,6;93;1973-09-04
7,4;87;1973-09-05
15,5;84;1973-09-06
10,9;80;1973-09-07
10,3;78;1973-09-08
10,9;75;1973-09-09
9,7;73;1973-09-10
14,9;81;1973-09-11
15,5;76;1973-09-12
6,3;77;1973-09-13
10,9;71;1973-09-14
11,5;71;1973-09-15
6,9;78;1973-09-16
13,8;67;1973-09-17
10,3;76;1973-09-18
10,3;68;1973-09-19
8;82;1973-09-20
12,6;64;1973-09-21
9,2;71;1973-09-22
10,3;81;1973-09-23
10,3;69;1973-09-24
16,6;63;1973-09-25
6,9;70;1973-09-26
13,2;77;1973-09-27
14,3;75;1973-09-28
8;76;1973-09-29
11,5;68;1973-09-30
